Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
40,848,849,245.17999267578125,243.0800018310547,,,-103.53003356933594,19.530399780273438,-0.010556533634683736,2021-05-17,2021-05-18,1 days,
44,849,850,243.0800018310547,243.1199951171875,,,-19.633095275878908,21.392799865722658,-0.0018356372694350344,2021-05-18,2021-05-19,1 days,
40,850,897,243.1199951171875,286.5400085449219,,,1715.6141369628906,21.186400146484374,0.17641639637002485,2021-05-19,2021-07-27,69 days,
-12,897,929,286.5400085449219,295.7099914550781,,,-117.026794921875,6.987,-0.03403445459389432,2021-07-27,2021-09-10,45 days,
70,929,941,295.7099914550781,283.5199890136719,,,-893.84626953125,40.5460986328125,-0.04318160627255909,2021-09-10,2021-09-28,18 days,
2,941,942,283.5199890136719,284.0,,,-0.1750180053710939,1.135039978027344,-0.000308651968385048,2021-09-28,2021-09-29,1 days,
70,942,943,284.0,281.9200134277344,,,-185.21346099853514,39.614400939941405,-0.009316572484835781,2021-09-29,2021-09-30,1 days,
3,943,945,281.9200134277344,283.1099853515625,,,1.8748257751464843,1.6950899963378907,0.002216734872598981,2021-09-30,2021-10-04,4 days,
69,945,946,283.1099853515625,288.760009765625,,,350.39265490722653,39.45902966308594,0.017937037482585943,2021-10-04,2021-10-05,1 days,
2,946,947,288.760009765625,293.1099853515625,,,7.536211181640625,1.163739990234375,0.013049263967953015,2021-10-05,2021-10-06,1 days,
68,947,980,293.1099853515625,339.8299865722656,,,3133.9201649169922,43.039918090820315,0.15723470216649726,2021-10-06,2021-11-22,47 days,
-20,980,985,339.8299865722656,330.5899963378906,,,171.39140502929686,13.408399658203125,0.025217227996572025,2021-11-22,2021-11-30,8 days,
64,985,988,330.5899963378906,323.010009765625,,,-526.949541015625,41.830400390625,-0.024905734201205957,2021-11-30,2021-12-03,3 days,
1,988,989,323.010009765625,326.19000244140625,,,2.5307926635742186,0.6492000122070313,0.00783502859682443,2021-12-03,2021-12-06,3 days,
64,989,998,326.19000244140625,323.79998779296875,,,-194.560296875,41.599359375000006,-0.009319735785642116,2021-12-06,2021-12-17,11 days,
1,998,1010,323.79998779296875,316.3800048828125,,,-8.060162902832031,0.6401799926757812,-0.02489241262104532,2021-12-17,2022-01-05,19 days,
65,1010,1011,316.3800048828125,313.8800048828125,,,-203.46690063476564,40.96690063476562,-0.009893988120156556,2022-01-05,2022-01-06,1 days,
2,1011,1013,313.8800048828125,314.2699890136719,,,-0.4763317260742186,1.2562999877929686,-0.000758779977482298,2022-01-06,2022-01-10,4 days,
65,1013,1014,314.2699890136719,314.9800109863281,,,5.2501782226562455,40.901250000000005,0.0002570145908927916,2022-01-10,2022-01-11,1 days,
2,1014,1015,314.9800109863281,318.2699890136719,,,5.3134560546875,1.2665,0.008434592465167891,2022-01-11,2022-01-12,1 days,
64,1015,1016,318.2699890136719,304.79998779296875,,,-901.956556640625,39.876478515624996,-0.04428023905484962,2022-01-12,2022-01-13,1 days,
4,1016,1017,304.79998779296875,310.20001220703125,,,19.14009765625,2.46,0.015698899624998194,2022-01-13,2022-01-14,1 days,
63,1017,1018,310.20001220703125,302.6499938964844,,,-514.2607039489747,38.609550384521484,-0.026314854917550416,2022-01-14,2022-01-18,4 days,
5,1018,1019,302.6499938964844,303.3299865722656,,,0.3700634765624997,3.0298999023437503,0.00024454880821120654,2022-01-18,2022-01-19,1 days,
63,1019,1020,303.3299865722656,301.6000061035156,,,-147.09935906982423,38.11058953857422,-0.0076975919453631525,2022-01-19,2022-01-20,1 days,
6,1020,1021,301.6000061035156,296.0299987792969,,,-37.00582397460938,3.585780029296875,-0.02044972547840301,2022-01-20,2022-01-21,1 days,
64,1021,1022,296.0299987792969,296.3699951171875,,,-16.153833984374998,37.913599609375,-0.000852628642524925,2022-01-21,2022-01-24,3 days,
6,1022,1024,296.3699951171875,296.7099914550781,,,-1.5185018920898439,3.558479919433594,-0.0008539449095767951,2022-01-24,2022-01-26,2 days,
64,1024,1025,296.7099914550781,299.8399963378906,,,162.14111328125,38.17919921875,0.008538488652152879,2022-01-26,2022-01-27,1 days,
5,1025,1111,299.8399963378906,272.4200134277344,,,-139.96121459960938,2.861300048828125,-0.0933572680823319,2022-01-27,2022-06-01,125 days,
-5,1111,1301,272.4200134277344,256.8699951171875,,,75.10364151000977,2.6464500427246094,0.05513812334491552,2022-06-01,2023-03-06,278 days,
81,1301,1327,256.8699951171875,283.489990234375,,,2112.450445678711,43.769158813476565,0.10152853827843163,2023-03-06,2023-04-12,37 days,
-24,1327,1336,283.489990234375,275.4200134277344,,,180.26560327148437,13.413840087890625,0.026494998277606752,2023-04-12,2023-04-25,13 days,
77,1336,1338,275.4200134277344,304.8299865722656,,,2219.888682128906,44.67925,0.10467548376652624,2023-04-25,2023-04-27,2 days,
-23,1338,1387,304.8299865722656,331.8299865722656,,,-635.6431793823242,14.64317938232422,-0.09066253712081151,2023-04-27,2023-07-10,74 days,
65,1387,1408,331.8299865722656,326.04998779296875,,,-418.4621189880371,42.76219833374024,-0.019401136166637755,2023-07-10,2023-08-08,29 days,
1,1408,1409,326.04998779296875,322.2300109863281,,,-4.468256805419922,0.6482799987792969,-0.013704207859860856,2023-08-08,2023-08-09,1 days,
65,1409,1410,322.2300109863281,322.92999267578125,,,3.5634095764160136,41.93540023803711,0.00017013215380905916,2023-08-09,2023-08-10,1 days,
1,1410,1411,322.92999267578125,321.010009765625,,,-2.5639229125976564,0.6439400024414063,-0.007939562662957138,2023-08-10,2023-08-11,1 days,
66,1411,1414,321.010009765625,320.3999938964844,,,-82.59410760498048,42.33306024169922,-0.0038984014041070886,2023-08-11,2023-08-16,5 days,
1,1414,1415,320.3999938964844,316.8800048828125,,,-4.157269012451172,0.6372799987792969,-0.012975246852827043,2023-08-16,2023-08-17,1 days,
66,1415,1416,316.8800048828125,316.4800109863281,,,-68.20135821533204,41.801761047363286,-0.003261025929154693,2023-08-17,2023-08-18,1 days,
