combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
112,46.0,70.0,0.5,30.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
113,46.0,70.0,0.5,30.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
114,46.0,70.0,0.5,30.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
115,46.0,70.0,0.5,35.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
116,46.0,70.0,0.5,35.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
117,46.0,70.0,0.5,35.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
118,46.0,70.0,1.5,25.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
119,46.0,70.0,1.5,25.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
120,46.0,70.0,1.5,25.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
121,46.0,70.0,1.5,30.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
122,46.0,70.0,1.5,30.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
123,46.0,70.0,1.5,30.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
124,46.0,70.0,1.5,35.0,0.9,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
125,46.0,70.0,1.5,35.0,1.0,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
126,46.0,70.0,1.5,35.0,1.1,3.854630332351589,-10.102936840594989,10.102936840594989,43.84615384615385,1.123269973718414,0.10953429069852602,130
127,46.0,70.0,2.5,25.0,0.9,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
128,46.0,70.0,2.5,25.0,1.0,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
129,46.0,70.0,2.5,25.0,1.1,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
130,46.0,70.0,2.5,30.0,0.9,11.772825853912247,-10.130297965520974,10.130297965520974,44.09448818897638,1.3480313247333289,0.36235966718673335,127
